지점,지점명,일시,합계 일조시간(hr),평균 전운량(1/10)
143,대구,2020-05-01,12,0.5
143,대구,2020-05-02,6.3,8.4
143,대구,2020-05-03,.2,9.8
143,대구,2020-05-04,10.2,4.9
143,대구,2020-05-05,3,8.6
143,대구,2020-05-06,12.3,2.1
143,대구,2020-05-07,12,5.1
143,대구,2020-05-08,9.3,6.9
143,대구,2020-05-09,0,9.6
143,대구,2020-05-10,7.4,3.9
143,대구,2020-05-11,10.2,2.6
143,대구,2020-05-12,12.4,1.3
143,대구,2020-05-13,12.9,0.4
143,대구,2020-05-14,7.3,6
143,대구,2020-05-15,0,10
143,대구,2020-05-16,4.6,9
143,대구,2020-05-17,8,7.8
143,대구,2020-05-18,2.3,9
143,대구,2020-05-19,5.9,5.1
143,대구,2020-05-20,10.4,4.4
143,대구,2020-05-21,6.8,6.6
143,대구,2020-05-22,11.3,5.4
143,대구,2020-05-23,12.8,1.9
143,대구,2020-05-24,7.5,7.5
143,대구,2020-05-25,1.7,8.4
143,대구,2020-05-26,6.6,7
143,대구,2020-05-27,11.4,6.5
143,대구,2020-05-28,11.3,2.8
143,대구,2020-05-29,11,3.8
143,대구,2020-05-30,8.9,7.3
143,대구,2020-05-31,5.7,6.5
